Name,Symbol,Keywords
Dolar Kuru,USDTRY,dolar
Bitcoin,BTC,XXXXXXXXXXXXXXXX
Ethereum,ETH,XXXXXXXXXXXXXXXX
Binance Coin,BNB,XXXXXXXXXXXXXXXX
XRP,XRP,XXXXXXXXXXXXXXXX
Tether,USDT,XXXXXXXXXXXXXXXX
Cardano,ADA,XXXXXXXXXXXXXXXX
Dogecoin,DOGE,"dodge coin,dogefather"
Shiba,SHIB,XXXXXXXXXXXXXX
Polkadot,DOT,XXXXXXXXXXXXXXXX
Uniswap,UNI,XXXXXXXXXXXXXXXX
Litecoin,LTC,XXXXXXXXXXXXXXXX
Bitcoin Cash,BCH,XXXXXXXXXXXXXXXX
Chainlink,LINK,XXXXXXXXXXXXXXXX
VeChain,VET,XXXXXXXXXXXXXXXX
Solana,SOL,XXXXXXXXXXXXXXXX
USD Coin,USDC,XXXXXXXXXXXXXXXX
Stellar,XLM,XXXXXXXXXXXXXXXX
THETA,THETA,XXXXXXXXXXXXXXXX
Filecoin,FIL,XXXXXXXXXXXXXXXX
TRON,TRX,XXXXXXXXXXXXXXXX
Wrapped Bitcoin,WBTC,XXXXXXXXXXXXXXXX
Monero,XMR,XXXXXXXXXXXXXXXX
Terra,LUNA,XXXXXXXXXXXXXXXX
Binance USD,BUSD,XXXXXXXXXXXXXXXX
Neo,NEO,XXXXXXXXXXXXXXXX
Klaytn,KLAY,XXXXXXXXXXXXXXXX
EOS,EOS,XXXXXXXXXXXXXXXX
IOTA,MIOTA,XXXXXXXXXXXXXXXX
PancakeSwap,CAKE,XXXXXXXXXXXXXXXX
Bitcoin SV,BSV,XXXXXXXXXXXXXXXX
Aave,AAVE,XXXXXXXXXXXXXXXX
FTX Token,FTT,XXXXXXXXXXXXXXXX
Crypto.com Coin,CRO,XXXXXXXXXXXXXXXX
Cosmos,ATOM,XXXXXXXXXXXXXXXX
BitTorrent,BTT,XXXXXXXXXXXXXXXX
Maker,MKR,XXXXXXXXXXXXXXXX
Tezos,XTZ,XXXXXXXXXXXXXXXX
Ethereum Classic,ETC,XXXXXXXXXXXXXXXX
Dai,DAI,XXXXXXXXXXXXXXXX
Algorand,ALGO,XXXXXXXXXXXXXXXX
Avalanche,AVAX,XXXXXXXXXXXXXXXX
Huobi Token,HT,XXXXXXXXXXXXXXXX
Compound,COMP,XXXXXXXXXXXXXXXX
Kusama,KSM,XXXXXXXXXXXXXXXX
THORChain,RUNE,XXXXXXXXXXXXXXXX
Polygon,MATIC,XXXXXXXXXXXXXXXX
Elrond,EGLD,XXXXXXXXXXXXXXXX
NEM,XEM,XXXXXXXXXXXXXXXX
Bitcoin BEP2,BTCB,XXXXXXXXXXXXXXXX
Dash,DASH,XXXXXXXXXXXXXXXX
Decred,DCR,XXXXXXXXXXXXXXXX
Zcash,ZEC,XXXXXXXXXXXXXXXX
Chiliz,CHZ,XXXXXXXXXXXXXXXX
Holo,HOT,XXXXXXXXXXXXXXXX
Stacks,STX,XXXXXXXXXXXXXXXX
UNUS SED LEO,LEO,XXXXXXXXXXXXXXXX
Hedera Hashgraph,HBAR,XXXXXXXXXXXXXXXX
Waves,WAVES,XXXXXXXXXXXXXXXX
Enjin Coin,ENJ,XXXXXXXXXXXXXXXX
Decentraland,MANA,XXXXXXXXXXXXXXXX
Nexo,NEXO,XXXXXXXXXXXXXXXX
TerraUSD,UST,XXXXXXXXXXXXXXXX
