Name,Symbol
Bitcoin,BTC
Ethereum,ETH
Binance Coin,BNB
XRP,XRP
Tether,USDT
Cardano,ADA
Dogecoin,DOGE
Polkadot,DOT
Uniswap,UNI
Litecoin,LTC
Bitcoin Cash,BCH
Chainlink,LINK
VeChain,VET
Solana,SOL
USD Coin,USDC
Stellar,XLM
THETA,THETA
Filecoin,FIL
TRON,TRX
Wrapped Bitcoin,WBTC
Monero,XMR
Terra,LUNA
Binance USD,BUSD
Neo,NEO
Klaytn,KLAY
EOS,EOS
IOTA,MIOTA
PancakeSwap,CAKE
Bitcoin SV,BSV
Aave,AAVE
FTX Token,FTT
Crypto.com Coin,CRO
Cosmos,ATOM
BitTorrent,BTT
Maker,MKR
Tezos,XTZ
Ethereum Classic,ETC
Dai,DAI
Algorand,ALGO
Avalanche,AVAX
Huobi Token,HT
Compound,COMP
Kusama,KSM
THORChain,RUNE
Polygon,MATIC
Elrond,EGLD
NEM,XEM
Bitcoin BEP2,BTCB
Dash,DASH
Decred,DCR
Zcash,ZEC
Chiliz,CHZ
Holo,HOT
Stacks,STX
UNUS SED LEO,LEO
Hedera Hashgraph,HBAR
Waves,WAVES
Enjin Coin,ENJ
Decentraland,MANA
Nexo,NEXO
TerraUSD,UST
Siacoin,SC
Zilliqa,ZIL
The Graph,GRT
Synthetix,SNX
Basic Attention Token,BAT
DigiByte,DGB
NEAR Protocol,NEAR
yearn.finance,YFI
Theta Fuel,TFUEL
SushiSwap,SUSHI
Bitcoin Gold,BTG
UMA,UMA
Horizen,ZEN
Celsius,CEL
Qtum,QTUM
Ravencoin,RVN
Harmony,ONE
Ontology,ONT
Helium,HNT
ICON,ICX
0x,ZRX
Celo,CELO
Bancor,BNT
Dent,DENT
Nano,NANO
SwissBorg,CHSB
Revain,REV
Reserve Rights,RSR
Fantom,FTM
OKB,OKB
Ankr,ANKR
Flow,FLOW
KuCoin Token,KCS
OMG Network,OMG
IOST,IOST
Arweave,AR
Paxos Standard,PAX
Voyager Token,VGX
Ren,REN
WazirX,WRX
Conflux Network,CFX
Verge,XVG
Curve DAO Token,CRV
1inch,1INCH
HUSD,HUSD
BTMX,BTMX
renBTC,RENBTC
Venus,XVS
VeThor Token,VTHO
Livepeer,LPT
Loopring,LRC
Lisk,LSK
Bitcoin Standard Hashrate Token,BTCST
Kyber Network Crystal Legacy,KNC
Status,SNT
Nervos Network,CKB
Storj,STORJ
MCO,MCO
Mdex,MDX
Ocean Protocol,OCEAN
Serum,SRM
Origin Protocol,OGN
Quant,QNT
ZKSwap,ZKS
Energy Web Token,EWT
Golem,GLM
Bitcoin Diamond,BCD
MaidSafeCoin,MAID
IoTeX,IOTX
StormX,STMX
NKN,NKN
Augur,REP
Reef,REEF
WINk,WIN
SKALE Network,SKL
Wootrade,WOO
Balancer,BAL
Ardor,ARDR
MediBloc,MED
DODO,DODO
Komodo,KMD
Civic,CVC
TrustSwap,SWAP
Fetch.ai,FET
Alpha Finance Lab,ALPHA
Aragon,ANT
The Sandbox,SAND
Steem,STEEM
SingularityNET,AGI
FUNToken,FUN
Celer Network,CELR
Telcoin,TEL
WAX,WAXP
Kin,KIN
TrueUSD,TUSD
Band Protocol,BAND
BitShares,BTS
Numeraire,NMR
Neutrino USD,USDN
Orbs,ORBS
Swipe,SXP
Injective Protocol,INJ
Kava.io,KAVA
Velas,VLX
Haven Protocol,XHV
Hive,HIVE
Syntropy,NOIA
Gnosis,GNO
JUST,JST
CyberVein,CVT
GateToken,GT
Ark,ARK
ABBC Coin,ABBC
Bytom,BTM
Badger DAO,BADGER
Wanchain,WAN
Unibright,UBT
Metal,MTL
Stratis,STRAX
Uquid Coin,UQC
iExec RLC,RLC
Metadium,META
Ampleforth,AMPL
Polymath,POLY
Travala.com,AVA
Populous,PPT
Ontology Gas,ONG
ReddCoin,RDD
BORA,BORA
COTI,COTI
Handshake,HNS
Everipedia,IQ
Orchid,OXT
Oasis Network,ROSE
aelf,ELF
Secret,SCRT
RSK Infrastructure Framework,RIF
Utrust,UTK
ZB Token,ZB
